ANSERIFORMES: Anatidae,,,
Black-bellied Whistling-Duck,Dendrocygna autumnalis,,
West Indian Whistling-Duck,Dendrocygna arborea,,Introduced species  Vulnerable
Fulvous Whistling-Duck,Dendrocygna bicolor,,
Bar-headed Goose,Anser indicus,,Rare/Accidental 
Emperor Goose,Anser canagicus,,Near-threatened
Snow Goose,Anser caerulescens,,
Ross's Goose,Anser rossii,,
Graylag Goose,Anser anser,,Rare/Accidental 
Greater White-fronted Goose,Anser albifrons,,
Lesser White-fronted Goose,Anser erythropus,,Rare/Accidental Vulnerable
Taiga Bean-Goose,Anser fabalis,,Rare/Accidental 
Tundra Bean-Goose,Anser serrirostris,,Rare/Accidental 
Pink-footed Goose,Anser brachyrhynchus,,Rare/Accidental 
Brant,Branta bernicla,,
Barnacle Goose,Branta leucopsis,,
Cackling Goose,Branta hutchinsii,,Breeding endemic
Canada Goose,Branta canadensis,,
Hawaiian Goose,Branta sandvicensis,,Vulnerable
Mute Swan,Cygnus olor,,Introduced species 
Trumpeter Swan,Cygnus buccinator,,
Tundra Swan,Cygnus columbianus,,
Whooper Swan,Cygnus cygnus,,
Orinoco Goose,Oressochen jubatus,,Introduced species  Near-threatened
Muscovy Duck,Cairina moschata,,
Wood Duck,Aix sponsa,,
Baikal Teal,Sibirionetta formosa,,
Garganey,Spatula querquedula,,
Blue-winged Teal,Spatula discors,,
Cinnamon Teal,Spatula cyanoptera,,
Northern Shoveler,Spatula clypeata,,
Gadwall,Mareca strepera,,
Falcated Duck,Mareca falcata,,Near-threatened
Eurasian Wigeon,Mareca penelope,,
American Wigeon,Mareca americana,,
Laysan Duck,Anas laysanensis,,Critically endangered
Hawaiian Duck,Anas wyvilliana,,Endangered
Eastern Spot-billed Duck,Anas zonorhyncha,,Rare/Accidental 
Mallard,Anas platyrhynchos,,
American Black Duck,Anas rubripes,,
Mottled Duck,Anas fulvigula,,
White-cheeked Pintail,Anas bahamensis,,
Northern Pintail,Anas acuta,,
Green-winged Teal,Anas crecca,,
Canvasback,Aythya valisineria,,
Redhead,Aythya americana,,
Common Pochard,Aythya ferina,,Vulnerable
Ring-necked Duck,Aythya collaris,,
Tufted Duck,Aythya fuligula,,
Greater Scaup,Aythya marila,,
Lesser Scaup,Aythya affinis,,
Steller's Eider,Polysticta stelleri,,Vulnerable
Spectacled Eider,Somateria fischeri,,
King Eider,Somateria spectabilis,,
Common Eider,Somateria mollissima,,Near-threatened
Harlequin Duck,Histrionicus histrionicus,,
Labrador Duck,Camptorhynchus labradorius,,Extinct
Surf Scoter,Melanitta perspicillata,,
White-winged Scoter,Melanitta fusca,,
Common Scoter,Melanitta nigra,,Rare/Accidental 
Black Scoter,Melanitta americana,,Near-threatened
Long-tailed Duck,Clangula hyemalis,,Vulnerable
Bufflehead,Bucephala albeola,,
Common Goldeneye,Bucephala clangula,,
Barrow's Goldeneye,Bucephala islandica,,
Smew,Mergellus albellus,,
Hooded Merganser,Lophodytes cucullatus,,
Common Merganser,Mergus merganser,,
Red-breasted Merganser,Mergus serrator,,
Masked Duck,Nomonyx dominicus,,
Ruddy Duck,Oxyura jamaicensis,,
,,,
GALLIFORMES: Cracidae,,,
Plain Chachalaca,Ortalis vetula,,
,,,
GALLIFORMES: Numididae,,,
Helmeted Guineafowl,Numida meleagris,,Introduced species 
,,,
GALLIFORMES: Odontophoridae,,,
Mountain Quail,Oreortyx pictus,,
Northern Bobwhite,Colinus virginianus,,Near-threatened
Scaled Quail,Callipepla squamata,,
California Quail,Callipepla californica,,
Gambel's Quail,Callipepla gambelii,,
Montezuma Quail,Cyrtonyx montezumae,,
,,,
GALLIFORMES: Phasianidae,,,
Indian Peafowl,Pavo cristatus,,Introduced species 
Chukar,Alectoris chukar,,Introduced species 
Himalayan Snowcock,Tetraogallus himalayensis,,Introduced species 
Erckel's Francolin,Pternistis erckelii,,Introduced species 
Black Francolin,Francolinus francolinus,,Introduced species 
Gray Francolin,Francolinus pondicerianus,,Introduced species 
Chinese Bamboo-Partridge,Bambusicola thoracicus,,Introduced species (non established) 
Elliot's Pheasant,Syrmaticus ellioti,,Introduced species  Near-threatened
Lady Amherst's Pheasant,Chrysolophus amherstiae,,Introduced species 
Ring-necked Pheasant,Phasianus colchicus,,Introduced species 
Silver Pheasant,Lophura nycthemera,,Introduced species (non established) 
Kalij Pheasant,Lophura leucomelanos,,Introduced species 
Gray Partridge,Perdix perdix,,Introduced species 
Ruffed Grouse,Bonasa umbellus,,
Greater Sage-Grouse,Centrocercus urophasianus,,Near-threatened
Gunnison Sage-Grouse,Centrocercus minimus,,Endangered
Spruce Grouse,Falcipennis canadensis,,
Willow Ptarmigan,Lagopus lagopus,,
Rock Ptarmigan,Lagopus muta,,
White-tailed Ptarmigan,Lagopus leucura,,
Dusky Grouse,Dendragapus obscurus,,
Sooty Grouse,Dendragapus fuliginosus,,
Sharp-tailed Grouse,Tympanuchus phasianellus,,
Greater Prairie-Chicken,Tympanuchus cupido,,Vulnerable
Lesser Prairie-Chicken,Tympanuchus pallidicinctus,,Vulnerable
Wild Turkey,Meleagris gallopavo,,
,,,
GAVIIFORMES: Gaviidae,,,
Red-throated Loon,Gavia stellata,,
Arctic Loon,Gavia arctica,,
Pacific Loon,Gavia pacifica,,
Common Loon,Gavia immer,,
Yellow-billed Loon,Gavia adamsii,,Near-threatened
,,,
PODICIPEDIFORMES: Podicipedidae,,,
Least Grebe,Tachybaptus dominicus,,
Pied-billed Grebe,Podilymbus podiceps,,
Horned Grebe,Podiceps auritus,,Vulnerable
Red-necked Grebe,Podiceps grisegena,,
Eared Grebe,Podiceps nigricollis,,
Western Grebe,Aechmophorus occidentalis,,
Clark's Grebe,Aechmophorus clarkii,,
,,,
PHOENICOPTERIFORMES: Phoenicopteridae,,,
Chilean Flamingo,Phoenicopterus chilensis,,Introduced species  Near-threatened
American Flamingo,Phoenicopterus ruber,,
,,,
PROCELLARIIFORMES: Diomedeidae,,,
Yellow-nosed Albatross,Thalassarche chlororhynchos,,Rare/Accidental 
White-capped Albatross,Thalassarche cauta,,Rare/Accidental 
Salvin's Albatross,Thalassarche salvini,,Rare/Accidental Vulnerable
Chatham Albatross,Thalassarche eremita,,Rare/Accidental Vulnerable
Black-browed Albatross,Thalassarche melanophris,,Rare/Accidental 
Light-mantled Albatross,Phoebetria palpebrata,,Rare/Accidental Near-threatened
Wandering Albatross,Diomedea exulans,,Rare/Accidental 
Laysan Albatross,Phoebastria immutabilis,,Near-threatened
Black-footed Albatross,Phoebastria nigripes,,Near-threatened
Short-tailed Albatross,Phoebastria albatrus,,Vulnerable
,,,
PROCELLARIIFORMES: Procellariidae,,,
Southern Giant-Petrel,Macronectes giganteus,,
Northern Fulmar,Fulmarus glacialis,,
Gray-faced Petrel,Pterodroma gouldi,,Rare/Accidental 
Kermadec Petrel,Pterodroma neglecta,,
Trindade Petrel,Pterodroma arminjoniana,,Vulnerable
Herald Petrel,Pterodroma heraldica,,Rare/Accidental 
Murphy's Petrel,Pterodroma ultima,,Near-threatened
Providence Petrel,Pterodroma solandri,,Rare/Accidental Vulnerable
Zino's Petrel,Pterodroma madeira,,Rare/Accidental Endangered
Fea's Petrel,Pterodroma feae,,Rare/Accidental 
Mottled Petrel,Pterodroma inexpectata,,Near-threatened
Bermuda Petrel,Pterodroma cahow,,Rare/Accidental Endangered
Black-capped Petrel,Pterodroma hasitata,,
Juan Fernandez Petrel,Pterodroma externa,,Vulnerable
Hawaiian Petrel,Pterodroma sandwichensis,,Vulnerable
White-necked Petrel,Pterodroma cervicalis,,
Bonin Petrel,Pterodroma hypoleuca,,
Black-winged Petrel,Pterodroma nigripennis,,
Cook's Petrel,Pterodroma cookii,,Vulnerable
Stejneger's Petrel,Pterodroma longirostris,,Vulnerable
Phoenix Petrel,Pterodroma alba,,Endangered
Bulwer's Petrel,Bulweria bulwerii,,
Jouanin's Petrel,Bulweria fallax,,Near-threatened
Tahiti Petrel,Pseudobulweria rostrata,,Rare/Accidental Near-threatened
Parkinson's Petrel,Procellaria parkinsoni,,Vulnerable
Streaked Shearwater,Calonectris leucomelas,,Near-threatened
Cory's Shearwater,Calonectris diomedea,,
Cape Verde Shearwater,Calonectris edwardsii,,Rare/Accidental Near-threatened
Pink-footed Shearwater,Ardenna creatopus,,Vulnerable
Flesh-footed Shearwater,Ardenna carneipes,,Near-threatened
Great Shearwater,Ardenna gravis,,
Wedge-tailed Shearwater,Ardenna pacifica,,
Buller's Shearwater,Ardenna bulleri,,Vulnerable
Sooty Shearwater,Ardenna grisea,,Near-threatened
Short-tailed Shearwater,Ardenna tenuirostris,,
Christmas Shearwater,Puffinus nativitatis,,
Manx Shearwater,Puffinus puffinus,,
Newell's Shearwater,Puffinus newelli,,
Bryan's Shearwater,Puffinus bryani,,Rare/Accidental Critically endangered
Black-vented Shearwater,Puffinus opisthomelas,,Near-threatened
Barolo Shearwater,Puffinus baroli,,Rare/Accidental 
Audubon's Shearwater,Puffinus lherminieri,,
,,,
PROCELLARIIFORMES: Hydrobatidae,,,
Wilson's Storm-Petrel,Oceanites oceanicus,,
White-faced Storm-Petrel,Pelagodroma marina,,
European Storm-Petrel,Hydrobates pelagicus,,Rare/Accidental 
Fork-tailed Storm-Petrel,Oceanodroma furcata,,
Ringed Storm-Petrel,Oceanodroma hornbyi,,Rare/Accidental Data deficient
Leach's Storm-Petrel,Oceanodroma leucorhoa,,
Townsend's Storm-Petrel,Oceanodroma socorroensis,,
Ainley's Storm-Petrel,Oceanodroma cheimomnestes,,
Swinhoe's Storm-Petrel,Oceanodroma monorhis,,Rare/Accidental Near-threatened
Ashy Storm-Petrel,Oceanodroma homochroa,,Endangered
Band-rumped Storm-Petrel,Oceanodroma castro,,
Wedge-rumped Storm-Petrel,Oceanodroma tethys,,Rare/Accidental 
Black Storm-Petrel,Oceanodroma melania,,
Tristram's Storm-Petrel,Oceanodroma tristrami,,Near-threatened
Least Storm-Petrel,Oceanodroma microsoma,,
,,,
PHAETHONTIFORMES: Phaethontidae,,,
White-tailed Tropicbird,Phaethon lepturus,,
Red-billed Tropicbird,Phaethon aethereus,,
Red-tailed Tropicbird,Phaethon rubricauda,,
,,,
CICONIIFORMES: Ciconiidae,,,
Jabiru,Jabiru mycteria,,Rare/Accidental 
Wood Stork,Mycteria americana,,
,,,
SULIFORMES: Fregatidae,,,
Lesser Frigatebird,Fregata ariel,,Rare/Accidental 
Magnificent Frigatebird,Fregata magnificens,,
Great Frigatebird,Fregata minor,,
,,,
SULIFORMES: Sulidae,,,
Masked Booby,Sula dactylatra,,
Nazca Booby,Sula granti,,Rare/Accidental 
Blue-footed Booby,Sula nebouxii,,Rare/Accidental 
Brown Booby,Sula leucogaster,,
Red-footed Booby,Sula sula,,
Northern Gannet,Morus bassanus,,
,,,
SULIFORMES: Phalacrocoracidae,,,
Brandt's Cormorant,Phalacrocorax penicillatus,,
Red-faced Cormorant,Phalacrocorax urile,,
Pelagic Cormorant,Phalacrocorax pelagicus,,
Great Cormorant,Phalacrocorax carbo,,
Neotropic Cormorant,Phalacrocorax brasilianus,,
Double-crested Cormorant,Phalacrocorax auritus,,
,,,
SULIFORMES: Anhingidae,,,
Anhinga,Anhinga anhinga,,
,,,
PELECANIFORMES: Pelecanidae,,,
American White Pelican,Pelecanus erythrorhynchos,,
Brown Pelican,Pelecanus occidentalis,,
,,,
PELECANIFORMES: Ardeidae,,,
American Bittern,Botaurus lentiginosus,,
Great Bittern,Botaurus stellaris,,Rare/Accidental 
Yellow Bittern,Ixobrychus sinensis,,
Least Bittern,Ixobrychus exilis,,
Bare-throated Tiger-Heron,Tigrisoma mexicanum,,Rare/Accidental 
Great Blue Heron,Ardea herodias,,
Gray Heron,Ardea cinerea,,Rare/Accidental 
Great Egret,Ardea alba,,
Intermediate Egret,Ardea intermedia,,Rare/Accidental 
Chinese Egret,Egretta eulophotes,,Vulnerable
Little Egret,Egretta garzetta,,Rare/Accidental 
Western Reef-Heron,Egretta gularis,,Rare/Accidental 
Snowy Egret,Egretta thula,,
Little Blue Heron,Egretta caerulea,,
Tricolored Heron,Egretta tricolor,,
Reddish Egret,Egretta rufescens,,Near-threatened
Cattle Egret,Bubulcus ibis,,
Chinese Pond-Heron,Ardeola bacchus,,Rare/Accidental 
Green Heron,Butorides virescens,,
Striated Heron,Butorides striata,,Rare/Accidental 
Black-crowned Night-Heron,Nycticorax nycticorax,,
Yellow-crowned Night-Heron,Nyctanassa violacea,,
,,,
PELECANIFORMES: Threskiornithidae,,,
White Ibis,Eudocimus albus,,
Scarlet Ibis,Eudocimus ruber,,Rare/Accidental 
Glossy Ibis,Plegadis falcinellus,,
White-faced Ibis,Plegadis chihi,,
Sacred Ibis,Threskiornis aethiopicus,,Introduced species (non established) 
Roseate Spoonbill,Platalea ajaja,,
,,,
CATHARTIFORMES: Cathartidae,,,
Black Vulture,Coragyps atratus,,
Turkey Vulture,Cathartes aura,,
California Condor,Gymnogyps californianus,,Critically endangered
,,,
ACCIPITRIFORMES: Pandionidae,,,
Osprey,Pandion haliaetus,,
,,,
ACCIPITRIFORMES: Accipitridae,,,
White-tailed Kite,Elanus leucurus,,
Hook-billed Kite,Chondrohierax uncinatus,,
Swallow-tailed Kite,Elanoides forficatus,,
Golden Eagle,Aquila chrysaetos,,
Snail Kite,Rostrhamus sociabilis,,
Double-toothed Kite,Harpagus bidentatus,,Rare/Accidental 
Mississippi Kite,Ictinia mississippiensis,,
Eurasian Marsh-Harrier,Circus aeruginosus,,Rare/Accidental 
Hen Harrier,Circus cyaneus,,Rare/Accidental 
Northern Harrier,Circus hudsonius,,
Chinese Sparrowhawk,Accipiter soloensis,,Rare/Accidental 
Eurasian Sparrowhawk,Accipiter nisus,,Rare/Accidental 
Sharp-shinned Hawk,Accipiter striatus,,
Cooper's Hawk,Accipiter cooperii,,
Northern Goshawk,Accipiter gentilis,,
Black Kite,Milvus migrans,,Rare/Accidental 
Bald Eagle,Haliaeetus leucocephalus,,
White-tailed Eagle,Haliaeetus albicilla,,
Steller's Sea-Eagle,Haliaeetus pelagicus,,Rare/Accidental Vulnerable
Crane Hawk,Geranospiza caerulescens,,Rare/Accidental 
Common Black Hawk,Buteogallus anthracinus,,
Great Black Hawk,Buteogallus urubitinga,,Rare/Accidental 
Roadside Hawk,Rupornis magnirostris,,Rare/Accidental 
Harris's Hawk,Parabuteo unicinctus,,
White-tailed Hawk,Geranoaetus albicaudatus,,
Variable Hawk,Geranoaetus polyosoma,,Rare/Accidental 
Gray Hawk,Buteo plagiatus,,
Gray-lined Hawk,Buteo nitidus,,
Red-shouldered Hawk,Buteo lineatus,,
Broad-winged Hawk,Buteo platypterus,,
Hawaiian Hawk,Buteo solitarius,,Near-threatened
Short-tailed Hawk,Buteo brachyurus,,
Swainson's Hawk,Buteo swainsoni,,
Zone-tailed Hawk,Buteo albonotatus,,
Red-tailed Hawk,Buteo jamaicensis,,
Rough-legged Hawk,Buteo lagopus,,
Ferruginous Hawk,Buteo regalis,,
Common Buzzard,Buteo buteo,,Rare/Accidental 
Eastern Buzzard,Buteo japonicus,,
,,,
GRUIFORMES: Rallidae,,,
Yellow Rail,Coturnicops noveboracensis,,
Black Rail,Laterallus jamaicensis,,
Corn Crake,Crex crex,,Rare/Accidental 
Ridgway's Rail,Rallus obsoletus,,Near-threatened
King Rail,Rallus elegans,,Near-threatened
Clapper Rail,Rallus crepitans,,
Virginia Rail,Rallus limicola,,
Rufous-necked Wood-Rail,Aramides axillaris,,Rare/Accidental 
Sora,Porzana carolina,,
Laysan Rail,Zapornia palmeri,,Endemic Extinct
Hawaiian Rail,Zapornia sandwichensis,,Endemic Extinct
Paint-billed Crake,Mustelirallus erythrops,,Rare/Accidental 
Spotted Rail,Pardirallus maculatus,,Rare/Accidental 
Purple Gallinule,Porphyrio martinica,,
Western Swamphen,Porphyrio porphyrio,,Introduced species (non established) 
Gray-headed Swamphen,Porphyrio poliocephalus,,Introduced species (non established) 
Eurasian Moorhen,Gallinula chloropus,,Rare/Accidental 
Common Gallinule,Gallinula galeata,,
Eurasian Coot,Fulica atra,,
Hawaiian Coot,Fulica alai,,Endemic Vulnerable
American Coot,Fulica americana,,
,,,
GRUIFORMES: Heliornithidae,,,
Sungrebe,Heliornis fulica,,Rare/Accidental 
,,,
GRUIFORMES: Aramidae,,,
Limpkin,Aramus guarauna,,
,,,
GRUIFORMES: Gruidae,,,
Gray Crowned-Crane,Balearica regulorum,,Introduced species  Endangered
Sandhill Crane,Antigone canadensis,,
Sarus Crane,Antigone antigone,,Introduced species  Vulnerable
Common Crane,Grus grus,,
Hooded Crane,Grus monacha,,Rare/Accidental Vulnerable
Whooping Crane,Grus americana,,Endangered
,,,
CHARADRIIFORMES: Burhinidae,,,
Double-striped Thick-knee,Burhinus bistriatus,,Rare/Accidental 
,,,
CHARADRIIFORMES: Recurvirostridae,,,
Black-winged Stilt,Himantopus himantopus,,Rare/Accidental 
Black-necked Stilt,Himantopus mexicanus,,
American Avocet,Recurvirostra americana,,
,,,
CHARADRIIFORMES: Haematopodidae,,,
Eurasian Oystercatcher,Haematopus ostralegus,,Rare/Accidental 
American Oystercatcher,Haematopus palliatus,,
Black Oystercatcher,Haematopus bachmani,,
,,,
CHARADRIIFORMES: Charadriidae,,,
Black-bellied Plover,Pluvialis squatarola,,
European Golden-Plover,Pluvialis apricaria,,Rare/Accidental 
American Golden-Plover,Pluvialis dominica,,
Pacific Golden-Plover,Pluvialis fulva,,
Northern Lapwing,Vanellus vanellus,,Rare/Accidental Near-threatened
Sociable Lapwing,Vanellus gregarius,,Rare/Accidental Critically endangered
Lesser Sand-Plover,Charadrius mongolus,,
Greater Sand-Plover,Charadrius leschenaultii,,Rare/Accidental 
Collared Plover,Charadrius collaris,,Rare/Accidental 
Snowy Plover,Charadrius nivosus,,Near-threatened
Wilson's Plover,Charadrius wilsonia,,
Common Ringed Plover,Charadrius hiaticula,,
Semipalmated Plover,Charadrius semipalmatus,,
Piping Plover,Charadrius melodus,,Near-threatened
Little Ringed Plover,Charadrius dubius,,
Killdeer,Charadrius vociferus,,
Mountain Plover,Charadrius montanus,,Near-threatened
Eurasian Dotterel,Charadrius morinellus,,
,,,
CHARADRIIFORMES: Jacanidae,,,
Northern Jacana,Jacana spinosa,,
,,,
CHARADRIIFORMES: Scolopacidae,,,
Upland Sandpiper,Bartramia longicauda,,
Bristle-thighed Curlew,Numenius tahitiensis,,Vulnerable
Whimbrel,Numenius phaeopus,,
Little Curlew,Numenius minutus,,
Eskimo Curlew,Numenius borealis,,Rare/Accidental Critically endangered (possibly extinct)
Long-billed Curlew,Numenius americanus,,
Far Eastern Curlew,Numenius madagascariensis,,Endangered
Slender-billed Curlew,Numenius tenuirostris,,Rare/Accidental Critically endangered
Eurasian Curlew,Numenius arquata,,Rare/Accidental Near-threatened
Bar-tailed Godwit,Limosa lapponica,,Near-threatened
Black-tailed Godwit,Limosa limosa,,Near-threatened
Hudsonian Godwit,Limosa haemastica,,
Marbled Godwit,Limosa fedoa,,
Ruddy Turnstone,Arenaria interpres,,
Black Turnstone,Arenaria melanocephala,,
Great Knot,Calidris tenuirostris,,Endangered
Red Knot,Calidris canutus,,Near-threatened
Surfbird,Calidris virgata,,
Ruff,Calidris pugnax,,
Broad-billed Sandpiper,Calidris falcinellus,,Rare/Accidental 
Sharp-tailed Sandpiper,Calidris acuminata,,
Stilt Sandpiper,Calidris himantopus,,
Curlew Sandpiper,Calidris ferruginea,,Near-threatened
Temminck's Stint,Calidris temminckii,,Rare/Accidental 
Long-toed Stint,Calidris subminuta,,
Spoon-billed Sandpiper,Calidris pygmea,,Critically endangered
Red-necked Stint,Calidris ruficollis,,Near-threatened
Sanderling,Calidris alba,,
Dunlin,Calidris alpina,,
Rock Sandpiper,Calidris ptilocnemis,,
Purple Sandpiper,Calidris maritima,,
Baird's Sandpiper,Calidris bairdii,,
Little Stint,Calidris minuta,,
Least Sandpiper,Calidris minutilla,,
White-rumped Sandpiper,Calidris fuscicollis,,
Buff-breasted Sandpiper,Calidris subruficollis,,Near-threatened
Pectoral Sandpiper,Calidris melanotos,,
Semipalmated Sandpiper,Calidris pusilla,,Near-threatened
Western Sandpiper,Calidris mauri,,
Short-billed Dowitcher,Limnodromus griseus,,
Long-billed Dowitcher,Limnodromus scolopaceus,,
Jack Snipe,Lymnocryptes minimus,,
Eurasian Woodcock,Scolopax rusticola,,Rare/Accidental 
American Woodcock,Scolopax minor,,
Solitary Snipe,Gallinago solitaria,,Rare/Accidental 
Common Snipe,Gallinago gallinago,,
Wilson's Snipe,Gallinago delicata,,
Pin-tailed Snipe,Gallinago stenura,,
Terek Sandpiper,Xenus cinereus,,
Wilson's Phalarope,Phalaropus tricolor,,
Red-necked Phalarope,Phalaropus lobatus,,
Red Phalarope,Phalaropus fulicarius,,
Common Sandpiper,Actitis hypoleucos,,
Spotted Sandpiper,Actitis macularius,,
Green Sandpiper,Tringa ochropus,,
Solitary Sandpiper,Tringa solitaria,,
Gray-tailed Tattler,Tringa brevipes,,Rare/Accidental Near-threatened
Wandering Tattler,Tringa incana,,
Spotted Redshank,Tringa erythropus,,
Greater Yellowlegs,Tringa melanoleuca,,
Common Greenshank,Tringa nebularia,,
Willet,Tringa semipalmata,,
Lesser Yellowlegs,Tringa flavipes,,
Marsh Sandpiper,Tringa stagnatilis,,
Wood Sandpiper,Tringa glareola,,
Common Redshank,Tringa totanus,,Rare/Accidental 
,,,
CHARADRIIFORMES: Glareolidae,,,
Oriental Pratincole,Glareola maldivarum,,
,,,
CHARADRIIFORMES: Stercorariidae,,,
Great Skua,Stercorarius skua,,
South Polar Skua,Stercorarius maccormicki,,
Pomarine Jaeger,Stercorarius pomarinus,,
Parasitic Jaeger,Stercorarius parasiticus,,
Long-tailed Jaeger,Stercorarius longicaudus,,
,,,
CHARADRIIFORMES: Alcidae,,,
Dovekie,Alle alle,,
Common Murre,Uria aalge,,
Thick-billed Murre,Uria lomvia,,
Razorbill,Alca torda,,Near-threatened
Great Auk,Pinguinus impennis,,Extinct
Black Guillemot,Cepphus grylle,,
Pigeon Guillemot,Cepphus columba,,
Long-billed Murrelet,Brachyramphus perdix,,Rare/Accidental Near-threatened
Marbled Murrelet,Brachyramphus marmoratus,,Endangered
